French,English
seulement,only
genre,kind
mois,month
car,because
mettre,to put
eux,them
chaque,each
revoir,meet again
aucune,any
place,square
étaient,were
affaire,case
leurs,their
train,train
yeux,eyes
façon,way
écoute,listen
main,hand
côté,side
pouvoir,power
sois,be
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
belle,beautiful
aimerais,would like to
aujourd'hui,today
espère,hope
eau,water
attendez,Wait
nouvelle,new
compte,account
donne,given
jouer,to play
bureau,office
